VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
2pg,(2R)-2-phosphoglycerate,MNXM275,58289,HMDB0000362,SLM:000489957,2pg,GXIURPTVHJPJLF-UWTATZPHSA-K,GXIURPTVHJPJLF
2pglyc,2-phosphoglycolate,MNXM2074,58033,HMDB0000816,,2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K,ASCFNMCAHFUBCO
31dmt,"31-DMT or M-II, 31-O-desmethyl tacrolimus",MNXM1529735,,,,31dmt,VHOPGJHKSPGXIZ-KNLBXDFQSA-N,VHOPGJHKSPGXIZ
34dhcinm,(E)-caffeate,MNXM1377687,57770,HMDB0001964,,34dhcinm,QAIPRVGONGVQAS-DUXPYHPUSA-M,QAIPRVGONGVQAS
34dhmald,"(R)-3,4-dihydroxymandelaldehyde",MNXM1633,180943,HMDB0004057,,34dhmald,YUGMCLJIWGEKCK-QMMMGPOBSA-N,YUGMCLJIWGEKCK
34dhoxmand,"(R)-3,4-dihydroxymandelate",MNXM3473,180944,HMDB0001866,,34dhoxmand,RGHMISIYKIHAJW-SSDOTTSWSA-M,RGHMISIYKIHAJW
34dhoxpeg,"3,4-dihydroxyphenylethyleneglycol",MNXM2931,1387,HMDB0000318,,34dhoxpeg,MTVWFVDWRVYDOR-UHFFFAOYSA-N,MTVWFVDWRVYDOR
34dhpac,"3,4-dihydroxyphenylacetaldehyde",MNXM1401,27978,HMDB0003791,,34dhpac,IADQVXRMSNIUEL-UHFFFAOYSA-N,IADQVXRMSNIUEL
34dhpe,hydroxytyrosol,MNXM56953,68889,HMDB0005784,,34dhpe,JUUBCHWRXWPFFH-UHFFFAOYSA-N,JUUBCHWRXWPFFH
34dhpha,"3,4-dihydroxyphenylacetate",MNXM645,17612,HMDB0001336,,34dhpha,CFFZDZCDUFSOFZ-UHFFFAOYSA-M,CFFZDZCDUFSOFZ
34dhphe,L-dopa,MNXM167658,57504,HMDB0000181,,34dhphe,WTDRDQBEARUVNC-LURJTMIESA-N,WTDRDQBEARUVNC
34hpl,(2R)-2-hydroxy-3-(4-hydroxyphenyl)propanoate,MNXM988,10980,HMDB0000755,,34hpl,JVGVDSSUAVXRDY-MRVPVSSYSA-M,JVGVDSSUAVXRDY
34hpp,3-(4-hydroxyphenyl)pyruvate,MNXM153,36242,HMDB0000707,,34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M,KKADPXVIOXHVKN
35cgmp,"3',5'-cyclic GMP",MNXM731192,57746,HMDB0001314,,35cgmp,ZOOGRGPOEVQQDX-UUOKFMHZSA-M,ZOOGRGPOEVQQDX
35dhpvs,"3'-alpha,5'beta-dihydroxy-pravastatin / 3'-alpha5'beta6'beta-trihydroxy pravastatin",MNXM744420,,,,35dhpvs,SDAIAIOTBYGVNZ-UHFFFAOYSA-M,SDAIAIOTBYGVNZ
35diotyr,"3,5-diiodo-L-tyrosine",MNXM730786,57506,HMDB0003474,,35diotyr,NYPYHUZRZVSYKL-ZETCQYMHSA-M,NYPYHUZRZVSYKL
35dsmv,"3',5'-dihydrodiol-simvastatin-lactone form",MNXM744421,,,,35dsmv,MRCKOKWQDZYFLT-UHFFFAOYSA-N,MRCKOKWQDZYFLT
3aib,(S)-3-amino-2-methylpropanoate,MNXM1372587,58655,HMDB0002166,,3aib,QCHPKSFMDHPSNR-VKHMYHEASA-N,QCHPKSFMDHPSNR
3aib_D,(R)-3-amino-2-methylpropanoate,MNXM1372586,57731,HMDB0002299,,3aib_D,QCHPKSFMDHPSNR-GSVOUGTGSA-N,QCHPKSFMDHPSNR
3amp,3'-AMP,MNXM1102173,60880,HMDB0003540,,3amp,LNQVTSROQXJCDD-KQYNXXCUSA-L,LNQVTSROQXJCDD
3bcrn,O-3-hydroxybutanoyl-(R)-carnitine,MNXM117467,84842,HMDB0062735,SLM:000390091,3bcrn,UEFRDQSMQXDWTO-YGPZHTELSA-N,UEFRDQSMQXDWTO
